# timestamp (ns), altitide (m)
1631087824633760512,1.385140000000000e+02
1631087824886043904,1.384780000000000e+02
1631087825142350336,1.384520000000000e+02
1631087825377039872,1.384070000000000e+02
1631087825645318144,1.383560000000000e+02
1631087825880135680,1.383140000000000e+02
1631087826135781888,1.382840000000000e+02
1631087826392493568,1.382640000000000e+02
1631087826645740544,1.382540000000000e+02
1631087826883186176,1.382770000000000e+02
1631087827136985344,1.382910000000000e+02
1631087827394295296,1.382790000000000e+02
1631087827627265792,1.382600000000000e+02
1631087827884849152,1.382820000000000e+02
1631087828140316160,1.383170000000000e+02
1631087828398081280,1.383500000000000e+02
1631087828626316800,1.383720000000000e+02
1631087828882451200,1.384010000000000e+02
1631087829138310912,1.384300000000000e+02
1631087829395425536,1.384500000000000e+02
1631087829626080768,1.384600000000000e+02
1631087829887374848,1.384680000000000e+02
1631087830143057664,1.384870000000000e+02
1631087830400420096,1.385180000000000e+02
1631087830635490304,1.385640000000000e+02
1631087830879095296,1.386190000000000e+02
1631087831134363392,1.386810000000000e+02
1631087831391642112,1.387460000000000e+02
1631087831649298688,1.388010000000000e+02
1631087831904832768,1.388500000000000e+02
1631087832139068672,1.388880000000000e+02
1631087832393963264,1.389190000000000e+02
1631087832627276544,1.389560000000000e+02
1631087832883520512,1.389710000000000e+02
1631087833139388672,1.389620000000000e+02
1631087833396997120,1.389480000000000e+02
1631087833646724352,1.389450000000000e+02
1631087833881501184,1.388600000000000e+02
1631087834137321984,1.387860000000000e+02
1631087834393194496,1.387520000000000e+02
1631087834642998784,1.387390000000000e+02
1631087834878750208,1.387370000000000e+02
1631087835133918464,1.387370000000000e+02
1631087835390839296,1.387270000000000e+02
1631087835628320256,1.387070000000000e+02
1631087835880633600,1.386840000000000e+02
1631087836140921344,1.386580000000000e+02
1631087836392757248,1.386220000000000e+02
1631087836640985344,1.385900000000000e+02
1631087836896766976,1.385710000000000e+02
1631087837128834560,1.385520000000000e+02
1631087837385571840,1.385330000000000e+02
1631087837634686464,1.384990000000000e+02
1631087837890613504,1.384510000000000e+02
1631087838146006528,1.384030000000000e+02
1631087838404203264,1.383560000000000e+02
